,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
329,2,RC,PR,2,2,1,0,0,0.010969103999999986,0.010969103999999986,0.017620040099999984,0.018211234419999982
328,2,RC,PR,2,2,1,0,0,0.011435206500000003,0.011435206500000003,0.01857426885000001,0.01920885217000001
276,2,S,NR,2,1,2,1,1,0.056024844500000004,0.056024844500000004,0.10347243455,0.10768999811
277,2,S,NR,2,2,2,0,0,0.003370508500000001,0.003370508500000001,0.003794111050000001,0.0038317646100000007
437,2,S,PR,2,2,2,0,0,0.010423383000000001,0.010423383000000001,0.01641509340000001,0.016947689880000012
600,3,S,RS,2,2,2,0,0,0.003322569499999997,0.003322569499999997,0.003784412150000009,0.0038254648300000103
599,3,S,RS,2,2,2,0,0,0.003586743999999989,0.003586743999999989,0.0038242332999999977,0.0038453434599999984
598,3,S,RS,2,2,2,0,0,0.003510797499999996,0.003510797499999996,0.00404301205,0.0040903200100000005
118,3,S,LU,2,1,2,1,1,0.056286521500000006,0.056286521500000006,0.10373733625,0.10795518645000002
331,3,RC,PR,2,2,1,0,0,0.015417296499999997,0.015417296499999997,0.02567017254999999,0.026581539309999992
332,3,RC,PR,2,2,1,0,0,0.01399603649999999,0.01399603649999999,0.023264344049999983,0.024088193609999982
228,3,RR,NR,2,2,2,0,0,0.0030653329999999895,0.0030653329999999895,0.003128089999999993,0.0031336683999999932
227,3,RR,NR,2,2,2,0,0,0.002593573000000002,0.002593573000000002,0.0032879023000000076,0.0033496204600000083
117,3,S,LU,2,2,2,0,0,0.0038236524999999966,0.0038236524999999966,0.004370755750000008,0.004419387150000008
651,3,RC,WS,2,2,2,0,0,0.0040171605000000055,0.0040171605000000055,0.004847754750000005,0.004921585350000005
330,3,RC,PR,2,2,1,0,0,0.014004020999999992,0.014004020999999992,0.02197516259999999,0.02268370851999999
174,3,RC,NR,2,2,2,0,0,0.003010713500000012,0.003010713500000012,0.004128349250000004,0.004227694650000004
173,3,RC,NR,2,2,2,0,0,0.003240472500000008,0.003240472500000008,0.0037378057500000116,0.003782013150000012
440,3,S,PR,2,2,2,0,0,0.013408468500000006,0.013408468500000006,0.02276255865000001,0.023594033330000014
172,3,RC,NR,2,2,2,0,0,0.0029693590000000047,0.0029693590000000047,0.0029864770000000125,0.002987998600000013
439,3,S,PR,2,2,2,0,0,0.013858900000000007,0.013858900000000007,0.02317693030000001,0.02400519966000001
652,3,RC,WS,2,2,2,0,0,0.006347552999999992,0.006347552999999992,0.007016296200000001,0.007075740040000002
438,3,S,PR,2,2,2,0,0,0.013831577499999997,0.013831577499999997,0.021664555150000004,0.022360819830000003
490,3,RC,RS,2,2,2,0,0,0.0029162495000000094,0.0029162495000000094,0.0036098475500000128,0.003671500710000013
491,3,RC,RS,2,2,2,0,0,0.0027498494999999984,0.0027498494999999984,0.003371137949999993,0.0034263635899999924
226,3,RR,NR,2,2,2,0,0,0.005524022499999989,0.005524022499999989,0.006765377649999997,0.006875720329999998
492,3,RC,RS,2,2,2,0,0,0.0021787189999999956,0.0021787189999999956,0.0022738993999999817,0.0022823598799999807
386,3,RR,PR,2,2,2,0,0,0.011713667499999997,0.011713667499999997,0.018240408549999997,0.018820563309999996
385,3,RR,PR,2,1,2,1,1,0.06384988949999999,0.06384988949999999,0.10446003644999997,0.10806982728999998
545,3,RR,RS,2,2,2,0,0,0.0029692600000000152,0.0029692600000000152,0.0033090955000000103,0.0033393031000000096
546,3,RR,RS,2,2,2,0,0,0.002891532500000002,0.002891532500000002,0.003363494750000008,0.0034054469500000087
547,3,RR,RS,2,1,2,1,1,0.05533126899999999,0.05533126899999999,0.10270758399999999,0.10691881199999999
278,3,S,NR,2,2,2,0,0,0.0033647470000000013,0.0033647470000000013,0.004042686400000004,0.004102947680000003
